open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1730419200000,70321.90,70358.40,70288.50,70338.20,722.237,1730419379999,50791529.76960,11666,462.111,32498056.99230,0
1730419380000,70338.20,70460.90,70338.20,70447.50,326.611,1730419559999,22991701.75010,5693,261.624,18416358.09360,0
1730419560000,70447.50,70473.10,70421.60,70421.70,182.078,1730419739999,12825813.69420,4224,108.555,7646844.49670,0
1730419740000,70421.60,70421.70,70370.00,70407.00,138.810,1730419919999,9771664.56160,3432,54.325,3824200.01010,0
1730419920000,70407.00,70481.80,70378.00,70481.70,156.891,1730420099999,11050137.21000,3031,116.121,8179094.89870,0
1730420100000,70481.80,70491.10,70430.50,70450.90,174.014,1730420279999,12261484.63680,3358,86.498,6094613.71530,0
1730420280000,70451.00,70500.00,70450.90,70461.30,235.354,1730420459999,16585780.24540,4300,116.535,8212702.19380,0
1730420460000,70461.40,70469.60,70387.00,70422.80,245.295,1730420639999,17275588.77280,3726,84.134,5924636.79400,0
1730420640000,70422.80,70440.40,70399.90,70415.20,92.723,1730420819999,6529152.55000,2521,30.317,2134768.96680,0
1730420820000,70415.20,70492.30,70415.20,70450.70,267.761,1730420999999,18867161.36570,3888,140.491,9898621.71540,0
1730421000000,70450.70,70450.80,70363.70,70363.80,221.333,1730421179999,15583599.16980,4730,68.075,4793219.31330,0
1730421180000,70363.70,70363.80,70231.00,70249.00,700.617,1730421359999,49233005.60630,8445,293.898,20651826.34810,0
1730421360000,70249.00,70267.40,70222.00,70222.00,411.980,1730421539999,28934852.13920,4985,197.887,13898698.69280,0
1730421540000,70222.00,70249.90,70160.90,70247.10,832.549,1730421719999,58444272.40170,9311,266.290,18694539.00130,0
1730421720000,70247.00,70325.40,70246.90,70275.10,291.803,1730421899999,20509930.21700,4826,161.289,11335978.54060,0
1730421900000,70275.10,70368.00,70232.90,70322.10,393.020,1730422079999,27626433.45440,6136,251.574,17681733.42490,0
1730422080000,70322.20,70405.70,70322.10,70346.30,367.352,1730422259999,25853242.65250,6205,205.756,14480535.60320,0
1730422260000,70346.30,70352.20,70307.60,70307.70,147.527,1730422439999,10376055.24090,2832,68.830,4841052.87540,0
1730422440000,70307.60,70309.50,70263.10,70270.90,144.961,1730422619999,10188609.70500,2649,60.712,4266749.23380,0
1730422620000,70270.90,70270.90,70188.60,70188.60,240.623,1730422799999,16897448.68980,3972,87.948,6176039.59200,0
1730422800000,70188.70,70230.10,70185.10,70203.80,338.285,1730422979999,23750060.81200,5784,188.836,13257408.49640,0
