open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1740787200000,148.1000,148.1400,147.3200,147.4800,99813,1740787379999,14740241.3400,7122,33130,4892686.9500,0
1740787380000,147.4800,147.5100,147.0900,147.2200,37026,1740787559999,5452827.4700,3459,17323,2551030.1100,0
1740787560000,147.2200,147.6300,147.1900,147.3300,29425,1740787739999,4337266.2600,3051,15300,2255347.3400,0
1740787740000,147.3400,147.5700,147.2400,147.3800,30354,1740787919999,4474373.1500,3279,16604,2447543.1700,0
1740787920000,147.3800,147.4500,147.0400,147.3000,42170,1740788099999,6206823.5300,3423,19561,2879314.7300,0
1740788100000,147.3100,147.3300,146.7100,146.8300,98814,1740788279999,14523458.6600,7410,39346,5783089.2100,0
1740788280000,146.8300,147.0100,146.4900,146.6500,63599,1740788459999,9329248.4300,5346,25311,3712938.4400,0
1740788460000,146.6500,147.2100,146.6500,147.2100,35047,1740788639999,5150644.7200,3632,20084,2951602.7300,0
1740788640000,147.2200,147.5800,147.1300,147.3100,47704,1740788819999,7029662.3800,4227,26963,3973357.7900,0
1740788820000,147.3200,147.3400,147.1400,147.2700,21051,1740788999999,3099122.1200,2776,10375,1527434.6000,0
1740789000000,147.2700,147.3500,146.9600,147.2300,30981,1740789179999,4557716.2900,3476,11065,1627759.6700,0
1740789180000,147.2400,147.6100,147.0000,147.2100,42011,1740789359999,6189269.1100,4575,25413,3744475.9500,0
1740789360000,147.2100,147.2300,146.7200,147.0400,35857,1740789539999,5270342.7100,3845,17589,2585100.3800,0
1740789540000,147.0500,147.0500,146.7700,146.8200,32698,1740789719999,4804472.9100,3556,16064,2360599.3100,0
1740789720000,146.8200,146.8400,146.2000,146.5200,85159,1740789899999,12469251.8500,6533,36166,5294906.7500,0
1740789900000,146.5200,146.5900,146.4100,146.4400,22740,1740790079999,3331439.1700,2915,9695,1420334.6500,0
1740790080000,146.4300,146.4400,145.9600,146.1100,76432,1740790259999,11169655.1700,5857,30271,4423396.4100,0
1740790260000,146.1100,146.2000,145.6800,145.7400,83768,1740790439999,12219736.9400,6645,38994,5688629.2500,0
1740790440000,145.7400,146.0900,145.6500,146.0800,65851,1740790619999,9607314.4400,5343,33702,4916474.3800,0
1740790620000,146.0700,146.0900,145.7700,145.9000,39213,1740790799999,5724265.0500,3593,14732,2150471.0100,0
1740790800000,145.9000,146.0900,145.5000,146.0700,76855,1740790979999,11204634.5200,6295,44337,6465192.5100,0
1740790980000,146.0600,146.3500,145.8900,146.3500,37803,1740791159999,5521168.9400,3743,22033,3218319.9400,0
